Vrest,Upstroke,Vpeak,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,GKr_0.06__Label,PCa_15.13__Label
-88.103,57.264,41.405,102.2,150.3,164.33,218.44,54.108,0.00038155,0.00047196,200.4,503.01,302.61,9.2879e-05,0,0
-87.797,55.708,38.645,120.24,172.34,188.38,248.5,60.12,0.0002154,0.00032707,282.57,633.27,350.7,0.00011496,0,0
-87.957,56.505,39.667,128.26,202.4,220.44,286.57,66.132,0.00024888,0.00031293,218.44,511.02,292.59,6.5599e-05,1,1
-88.077,56.104,39.243,104.21,152.3,166.33,214.43,48.096,0.00052596,0.00060831,182.36,486.97,304.61,8.5737e-05,0,0
-87.857,56.633,40.848,96.192,154.31,168.34,210.42,42.084,0.00022605,0.0003067,222.44,529.06,306.61,8.2397e-05,0,0
-88.107,55.082,41.153,136.27,204.41,224.45,286.57,62.124,0.00025435,0.00033696,268.54,599.2,330.66,8.5699e-05,1,1
-88.058,53.377,36.75,150.3,210.42,228.46,284.57,56.112,0.00026971,0.00034916,248.5,573.15,324.65,8.2221e-05,0,1
-87.864,58.344,41.06,84.168,158.32,178.36,242.48,64.128,0.00025613,0.00034629,230.46,541.08,310.62,9.2176e-05,0,0
-87.882,54.288,38.837,116.23,170.34,182.36,222.44,40.08,0.00031421,0.00040512,212.42,527.05,314.63,9.3558e-05,0,0
-88.131,56.886,40.717,122.24,182.36,198.4,264.53,66.132,0.00048811,0.00056561,188.38,492.99,304.61,8.0772e-05,1,0
-88.184,51.632,40.825,150.3,218.44,236.47,302.61,66.132,0.00047537,0.00056173,220.44,563.13,342.69,9.1682e-05,1,1
-87.866,53.598,36.969,144.29,210.42,228.46,290.58,62.124,0.00036882,0.00046311,198.4,494.99,296.59,9.6627e-05,1,1
-88.148,52.775,36.432,106.21,156.31,170.34,220.44,50.1,0.0003126,0.00036497,190.38,484.97,294.59,5.4237e-05,0,0
-87.982,56.032,39.861,114.23,164.33,178.36,224.45,46.092,0.0004325,0.00051005,146.29,378.76,232.46,7.8134e-05,0,0
-87.991,54.13,37.121,90.18,122.24,130.26,162.32,32.064,0.00038369,0.00047007,220.44,573.15,352.71,9.0966e-05,0,0
-87.911,52.15,38.613,160.32,230.46,256.51,336.67,80.16,0.00024288,0.00032331,302.61,637.27,334.67,8.4105e-05,1,1
-87.907,51.5,39.06,142.28,204.41,222.44,296.59,74.148,0.00044196,0.00054422,228.46,557.11,328.66,0.00010678,1,1
-87.885,51.841,34.752,150.3,214.43,234.47,300.6,66.132,0.00033726,0.00041093,230.46,567.13,336.67,7.7314e-05,1,1
-87.913,56.959,39.296,100.2,148.3,162.32,214.43,52.104,0.00025593,0.00033682,184.37,434.87,250.5,8.148e-05,0,0
-87.84,55.508,37.096,160.32,238.48,262.53,342.69,80.16,0.00031794,0.00040723,198.4,509.02,310.62,9.1317e-05,0,1
-88.322,54.384,37.586,152.3,226.45,244.49,310.62,66.132,0.00037277,0.00043402,186.37,494.99,308.62,6.3806e-05,0,0
